,English,French,Unnamed: 0,Unnamed: 0.1
0,part,partie,0,0
1,history,histoire,1,1
2,only,seulement,2,2
3,police,police,3,3
4,thought,pensais,4,4
5,request,demande,5,6
6,brother,frère,6,8
7,let,laisser,7,9
8,because,car,8,10
9,to put,mettre,9,11
10,no,aucun,10,12
11,leash,laisse,11,13
12,them,eux,12,14
13,city,ville,13,15
14,each,chaque,14,16
15,speak,parlé,15,17
16,come,arrivé,16,18
17,should,devrait,17,19
18,long time,longtemps,18,20
19,hours,heures,19,21
20,will,vont,20,22
21,while,pendant,21,23
22,meet again,revoir,22,24
23,any,aucune,23,25
24,square,place,24,26
25,speak,parle,25,27
26,understood,compris,26,28
27,knew,savais,27,29
28,Warning,attention,28,30
29,here is,voici,29,31
30,could,pourrais,30,32
31,case,affaire,31,33
32,give,donner,32,34
33,type,type,33,35
34,their,leurs,34,36
35,train,train,35,37
36,body,corps,36,38
37,eyes,yeux,37,39
38,way,façon,38,40
39,listen,écoute,39,41
40,find,trouve,40,43
41,first,premier,41,44
42,lost,perdu,42,45
43,hand,main,43,46
44,first,première,44,47
45,side,côté,45,48
46,power,pouvoir,46,49
47,old,vieux,47,50
48,be,sois,48,51
49,so much,tellement,49,54
50,child,enfant,50,55
51,sorry,pardon,53,59
52,come,venez,54,60
53,in front of,devant,55,61
54,minutes,minutes,56,63
55,placed,mis,58,65
56,beautiful,belle,59,66
57,law,droit,60,67
58,would like to,aimerais,61,68
59,today,aujourd'hui,62,69
60,cause,cause,63,70
61,hope,espère,64,72
62,left,parti,66,74
63,job,boulot,67,75
64,Stop,arrêter,68,76
65,would say,dirait,69,77
66,Earth,terre,70,78
67,account,compte,71,79
68,given,donne,72,80
69,far,loin,73,81
70,end,fin,74,82
71,believe,croire,75,83
72,sweetheart,chérie,76,84
73,large,gros,77,85
74,rather,plutôt,78,86
75,will have,aura,79,87
76,to play,jouer,81,89
77,office,bureau,82,90
